"filename", "language", "TypeScript", "JSON", "Shell Script", "JavaScript", "CSS", "HTML", "SCSS", "Markdown", "YAML", "XML", "Docker", "Log", "OpenVPN Configuration", "comment", "blank", "total"
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/contact/contact.component.html", "HTML", 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 16, 6, 152
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/contact/contact.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/contact/contact.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/contact/contact.component.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/counters/counters.component.html", "HTML", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 2, 1, 65
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/counters/counters.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/counters/counters.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/counters/counters.component.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/data.service.spec.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/data.service.ts", "TypeScript", 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 27, 448
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/empty/empty.component.html", "HTML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/empty/empty.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/empty/empty.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/empty/empty.component.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/footer/footer.component.html", "HTML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 39, 3, 64
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/footer/footer.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/footer/footer.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/footer/footer.component.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/meldiron/Desktop/eteam/AngularClient/src/app/header/header.component.html", "HTML", 0, 0, 0, 0, 0, 304, 0, 0, 0, 0, 0, 0, 0, 90, 16, 410
